name,locType,address,pinCode
adventureland,locality,"""Adventureland, Anaheim, Orange County, California, United States of America""",
balboa fun zone,theme_park,"""Balboa Fun Zone, Palm Street, Balboa Island, Newport Beach, Orange County, California, 92661, United States of America""",92661
napa county,administrative,"""Napa County, California, United States of America""",
western canyon rd,unclassified,"""Western Canyon Road, Little Armenia, LA, Los Angeles County, California, 90027, United States of America""",90027
north coast highway,primary,"""North Coast Highway, Laguna Beach, Orange County, California, 92651, United States of America""",92651
costa mesa freeway,motorway,"""Costa Mesa Freeway, Anaheim, Orange County, California, 92865, United States of America""",92865
kings canyon national park,national_park,"""Kings Canyon National Park, Coopet Creek Trail, Fresno County, California, United States of America""",
kettleman city,administrative,"""Kettleman City, 7th Street, Kettleman City, Kings County, California, 93239, United States of America""",93239
sfmoma,museum,"""SFMOMA, 151, 3rd Street, South of Market, SF, California, 94103, United States of America""",94103
olancha,administrative,"""Olancha, US 395, Grant, Inyo County, California, 93549, United States of America""",93549
pebbly beach,village,"""Pebbly Beach, Los Angeles County, California, United States of America""",
carmel valley ranch,hotel,"""Carmel Valley Ranch, Club House Road, Rancho Tierra Grande, Monterey County, California, United States of America""",
west mission bay drive,trunk,"""West Mission Bay Drive, Old Town, San Diego, San Diego County, California, 92107, United States of America""",92107
inyo,administrative,"""Inyo County, California, United States of America""",
san francisco bay area,region,"""San Francisco Bay Area, SF, California, United States of America""",
' the channel islands national park,national_park,"""Channel Islands National Park, Spinnaker Drive, Ventura, Ventura County, California, 93006, United States of America""",93006
national steinbeck center,attraction,"""National Steinbeck Center, Central Avenue, Salinas, Monterey County, California, 93901, United States of America""",93901
cabrillo boulevard,residential,"""Cabrillo Boulevard, Mar Vista, LA, Los Angeles County, California, 90066, United States of America""",90066
el toro road,secondary,"""El Toro Road, Foothill Ranch, Lake Forest, Orange County, California, 92610, United States of America""",92610
los angeles county metro,bus_station,"""Metro, Windward Circle, Venice, LA, Los Angeles County, California, 90291, United States of America""",90291
splash mountain,attraction,"""Splash Mountain, Attraction Exit, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America""",
honda center,stadium,"""Honda Center, 2695, East Katella Avenue, Anaheim Resort District, Anaheim, Orange County, California, 92806, United States of America""",92806
lake berryessa,residential,"""Lake Berryessa, Rosedale, Kern County, California, 93314, United States of America""",93314
peninsula beverly hills,hotel,"""The Peninsula Beverly Hills, South Santa Monica Boulevard, Beverly Hills, Los Angeles County, California, 90025, United States of America""",90025
higuera street,residential,"""Higuera Street, The Village Green, LA, Los Angeles County, California, 90232, United States of America""",90232
lebec,administrative,"""Lebec, Ridge Route Drive, Lebec, Kern County, California, 93243, United States of America""",93243
lake casitas,water,"""Lake Casitas, Haley Ranch Road, Live Oak Acres, Ventura County, California, 93022, United States of America""",93022
tuolumne meadows,suburb,"""Tuolumne Meadows, Tuolumne County, California, United States of America""",
pebbly beach heliport,helipad,"""Pebbly Beach Heliport, Pebbly Beach Road, Avalon, Los Angeles County, California, 90704, United States of America""",90704
windansea beach,park,"""Windansea Beach, Beach access, La Jolla, San Diego, San Diego County, California, 92037, United States of America""",92037
madame tussauds hollywood,attraction,"""Madame Tussaud's, North Orange Drive, Whitley Heights, LA, Los Angeles County, California, 90028, United States of America""",90028
moreno valley ca,city,"""Moreno Valley, Riverside County, California, United States of America""",
pacific park,commercial,"""Pacific Park, Aliso Viejo, Orange County, California, 92656, United States of America""",92656
calico,locality,"""Calico, Kern County, California, United States of America""",
laguna beach surf,hotel,"""Surf & Sand Resort, South Coast Highway, Laguna Beach, Orange County, California, 92651, United States of America""",92651
anaheim canyon,station,"""Anaheim Canyon, La Palma Avenue, Anaheim, Orange County, California, 92807, United States of America""",92807
carlsbad power,industrial,"""Encina Power Station, Carlsbad, San Diego County, California, 92009, United States of America""",92009
nevada highway,trunk,"""Nevada Highway, Boulder City, Clark County, Nevada, 89005, United States of America""",89005
malibu lagoon state beach,beach,"""Malibu Lagoon State Beach, Pacific Coast Highway, Malibu, Los Angeles County, California, 90265, United States of America""",90265
the june lake,town,"""June Lake, Mono County, California, United States of America""",
julia pfeiffer burns state park,park,"""Julia Pfeiffer Burns State Park, Ewoldsen trail, Monterey County, California, United States of America""",
avalon huntington beach,residential,"""Avalon Lane, Huntington Beach, Orange County, California, 92647, United States of America""",92647
lucia lodge,hotel,"""Lucia Lodge, Cabrillo Highway, Lucia, Monterey County, California, 93920, United States of America""",93920
chukchansi park,stadium,"""Chukchansi Park, Homerun Alley, Fresno County, California, 93721, United States of America""",93721
torrey pines state beach,beach,"""Torrey Pines State Beach, Yucca Point Trail, Del Mar, San Diego, San Diego County, California, 92121, United States of America""",92121
antelope valley,stream,"""Antelope Valley, Lander County, Nevada, United States of America""",
san francisco ferry building,bicycle_rental,"""Harry Bridges Plaza (Ferry Building), Harry Bridges Plaza, Financial District, SF, California, 94111, United States of America""",94111
kettleman,hamlet,"""Kettleman, San Joaquin County, California, United States of America""",
calif.,administrative,"""California, United States of America""",
nevada hot springs,hamlet,"""Nevada Hot Springs, Lyon County, Nevada, United States of America""",
peralta hills,hamlet,"""Peralta Hills, Orange County, California, United States of America""",
edna valley winery,winery,"""Tolosa Winery, 4910, Edna Road, San Luis Country Club Estates, San Luis Obispo County, California, 93401, United States of America""",93401
kettner blvd.,secondary,"""Kettner Boulevard, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""",92101
university community park,park,"""University Community Park, Beech Tree Lane, Turtle Rock, Irvine, Orange County, California, 92612, United States of America""",92612
w. winston rd,residential,"""West Winston Road, West Anaheim, Anaheim, Orange County, California, 92804, United States of America""",92804
hilton hotel anaheim,hotel,"""Hilton Anaheim, 777, Convention Way, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America""",92802
coarsegold,hamlet,"""Coarsegold, Madera County, California, United States of America""",
n. harbor island drive,secondary,"""Harbor Island Drive, Old Town, San Diego, San Diego County, California, 92101, United States of America""",92101
alabama hills,hamlet,"""Alabama Hills, Inyo County, California, United States of America""",
' lake arrowhead,water,"""Lake Arrowhead, Shelter Cove Lane, North Shore, San Bernardino County, California, 92407, United States of America""",92407
cambria shores inn,hotel,"""Cambria Shores Inn, 6276, Moonstone Beach Drive, Cambria, San Luis Obispo County, California, 93428, United States of America""",93428
hallelujah junction,hamlet,"""Hallelujah Junction, Lassen County, California, United States of America""",
mission hills,hamlet,"""Mission Hills, San Diego County, California, United States of America""",
mono lake ca,water,"""Mono Lake, Mono County, California, United States of America""",
sacramento delta,river,"""Delta Cross Channel, Sacramento County, California, United States of America""",
los angeles/anaheim,secondary,"""West Anaheim Street, Wilmington, LA, Los Angeles County, California, 90710, United States of America""",90710
campo fina,restaurant,"""Campo Fina, 330, Healdsburg Avenue, Healdsburg, Sonoma County, California, 95448, United States of America""",95448
badwater road,secondary,"""Badwater Road, Inyo County, California, United States of America""",
redwood mountain grove,wood,"""Redwood Mountain Grove, Sugar Bowl Trail, Tulare County, California, United States of America""",
la brea avenue,primary,"""La Brea Avenue, The Village Green, LA, Los Angeles County, California, 90019, United States of America""",90019
la jolla cove,beach,"""La Jolla Cove, Coast Boulevard, La Jolla, San Diego, San Diego County, California, 92037, United States of America""",92037
soledad road,tertiary,"""Soledad Road, Pacific Beach, San Diego, San Diego County, California, 92037, United States of America""",92037
mono county,administrative,"""Mono County, California, United States of America""",
coronado island,military,"""Naval Air Station North Island, F West Road, Coronado, San Diego County, California, 92135, United States of America""",92135
mission bay,neighbourhood,"""Mission Bay, SF, California, 94158, United States of America""",94158
crescent bay beach,bay,"""Crescent Bay, Circle Way, Laguna Beach, Orange County, California, 92651, United States of America""",92651
ritchey canyon,track,"""Ritchey Canyon Trail, Larkmead, Napa County, California, United States of America""",
salt creek beach,beach,"""Salt Creek Beach, Ritz Cove Drive, Dana Point, Orange County, California, 92629, United States of America""",92629
fort macarthur museum,museum,"""Fort MacArthur Military Museum, Osgood Farley Road, San Pedro, LA, Los Angeles County, California, 90734, United States of America""",90734
jenner,hamlet,"""Jenner, Sonoma County, California, United States of America""",
downtown san diego,hospital,"""Palomar Health Downtown Campus, East Grand Avenue, Escondido, San Diego County, California, 92027, United States of America""",92027
northeast california,residential,"""North East, Mendocino County, California, United States of America""",
los angelino,suburb,"""Angelino Heights, LA, Los Angeles County, California, United States of America""",
north park,neighbourhood,"""North Park, San Diego, San Diego County, California, 92104, United States of America""",92104
temecula valley,memorial,"""U.S. Mormon Battalion Trail, Temecula Valley, CA 79, Aguanga, Riverside County, California, United States of America""",
south of california,administrative,"""California, United States of America""",
anaheim gardenwalk,mall,"""Anaheim GardenWalk, Disney Way, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America""",
clairemont mesa,secondary,"""Clairemont Mesa Boulevard, Pacific Beach, San Diego, San Diego County, California, 92117, United States of America""",92117
avila beach resort,golf_course,"""Avila Beach Resort Golf Course, Alt Egress, Avila Beach, San Luis Obispo County, California, 93424, United States of America""",93424
san joaquin valley,administrative,"""San Joaquin County, California, United States of America""",
south carlsbad,city,"""Carlsbad, San Diego County, California, United States of America""",
downtown long beach,station,"""Downtown Long Beach, East 1st Street, Willowville, Long Beach, Los Angeles County, California, 90802, United States of America""",90802
marin,administrative,"""Marin County, California, United States of America""",
california islands,restaurant,"""Islands, 404, Washington Boulevard, Venice, LA, Los Angeles County, California, 90292, United States of America""",90292
kern river valley,river,"""Kern River, Tulare County, California, United States of America""",
yosemite valley,town,"""Yosemite Valley, Mariposa County, California, United States of America""",
tilden regional park,park,"""Tilden Regional Park, 2501, Grizzly Peak Boulevard, Berkeley Hills, Berkeley, Alameda County, California, 94563, United States of America""",94563
downtown los angeles,station,"""Downtown Burbank, Front Street, Burbank, Los Angeles County, California, 91502, United States of America""",91502
pacific inn,hotel,"""Pacific Inn, Wendy Drive, La Fresa, Torrance, Los Angeles County, California, 90503, United States of America""",90503
figueroa street,primary,"""Figueroa Street, South Park, Saint James Park, LA, Los Angeles County, California, 90015, United States of America""",90015
legoland san diego,tertiary,"""Legoland Drive, Carlsbad, San Diego County, California, 92009, United States of America""",92009
kernville,administrative,"""Kernville, Plater Road, Wofford Heights, Kern County, California, 93238, United States of America""",93238
movie road,residential,"""Movie Road, Alabama Hills, Inyo County, California, 93545, United States of America""",93545
mandalay bay,hotel,"""mandalay bay, 7026327777, South Las Vegas Boulevard, Hughes Center, Paradise, Clark County, Nevada, 89119, United States of America""",89119
south carlsbad state beach,national_park,"""South Carlsbad State Beach, Carlsbad Boulevard, Carlsbad, San Diego County, California, 92008, United States of America""",92008
west walker river,river,"""Walker River, Schurz, Mineral County, Nevada, United States of America""",
arroyo grande valley,city,"""Arroyo Grande, San Luis Obispo County, California, United States of America""",
solbar,restaurant,"""solbar, Silverado Trail, Larkmead, Napa County, California, 94515, United States of America""",94515
disney california adventure park,theme_park,"""DCA, 1620, South Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America""",92802
napa valley vine,cycleway,"""Napa Valley Vine Trail, Yountville, Napa County, California, 94599, United States of America""",94599
e. champlain drive,residential,"""East Champlain Drive, Fresno County, California, 93720, United States of America""",93720
yuma,city,"""Yuma, Yuma County, Arizona, United States of America""",
malibu route,national_park,"""Malibu Creek State Park, United States of America""",
pico creek,stream,"""Pico Creek, Paso Robles, San Luis Obispo County, California, United States of America""",
kettner blvd,secondary,"""Kettner Boulevard, Hillcrest, San Diego, San Diego County, California, 92101, United States of America""",92101
sonoma county,administrative,"""Sonoma County, California, United States of America""",
morro bay estuary,protected_area,"""Morro Estuary Natural Preserve, Morro Bay State Park Road, Morro Bay, San Luis Obispo County, California, 93442, United States of America""",93442
luckie park,park,"""Luckie Park, Mojave Road, San Bernardino County, California, United States of America""",
markleeville,administrative,"""Markleeville, Thornburg Canyon Trail, Shay Creek Summer Home Area, Alpine County, California, United States of America""",
san diego zoo/safari park,zoo,"""San Diego Zoo Safari Park, 15500, San Pasqual Valley Road, San Diego, San Diego County, California, 92025, United States of America""",15500
port san luis lighthouse,lighthouse,"""Point San Luis Lighthouse, Lighthouse Road, Port San Luis, San Luis Obispo County, California, 93424, United States of America""",93424
san diego botanic gardens,garden,"""San Diego Botanic Garden, Pacific View Lane, Encinitas, San Diego County, California, 92024, United States of America""",92024
hazard canyon,track,"""Hazard Canyon Road, Cuesta-by-the-Sea, San Luis Obispo County, California, 93402, United States of America""",93402
sylmar,suburb,"""Sylmar, LA, Los Angeles County, California, United States of America""",
downtown oakland,neighbourhood,"""Downtown, Oakland, Alameda County, California, 94612, United States of America""",94612
arizona,administrative,"""Arizona, United States of America""",
san fernando mission blvd.,secondary,"""San Fernando Mission Boulevard, Mission Hills, Sylmar, LA, Los Angeles County, California, 91326, United States of America""",91326
arista street,residential,"""Arista Street, Old Town, San Diego, San Diego County, California, 92103, United States of America""",92103
westward beach road,tertiary,"""Westward Beach Road, Malibu, Los Angeles County, California, 90265, United States of America""",90265
santa ynez,administrative,"""Santa Ynez, Stadium Place, Santa Ynez, Santa Barbara County, California, 93463, United States of America""",93463
sierra nevada mountains,residential,"""Oak Mountains Court, Lake of the Pines, Nevada County, California, 95722, United States of America""",95722
monterey & la,city,"""Monterey, Monterey County, California, United States of America""",
mission san luis obispo de tolosa,place_of_worship,"""Mission San Luis Obispo de Tolosa, 782, Chorro Street, San Luis Obispo, San Luis Obispo County, California, 93405, United States of America""",93405
andrew molera state park,park,"""Andrew Molera State Park, Cabrillo Highway, Big Sur, Monterey County, California, 93923, United States of America""",93923
hollywood,suburb,"""Hollywood, LA, Los Angeles County, California, United States of America""",
redwood national park,national_park,"""Redwood National Park, Redwood Creek Trail, Orick, Humboldt County, California, 95555, United States of America""",95555
owens lake,mud,"""Owens Lake, Inyo County, California, United States of America""",
ventura county line,residential,"""Lane, Matilija, Ventura County, California, 93023, United States of America""",93023
napa valley ca,trunk,"""CA 12;CA 29, Thompson, Napa County, California, 94559, United States of America""",94559
hollywood - los angeles,suburb,"""Hollywood, LA, Los Angeles County, California, United States of America""",
cima road,residential,"""La Cima Road, Santa Barbara, Santa Barbara County, California, 93101, United States of America""",93101
mazourka canyon road,tertiary,"""Mazourka Canyon Road, Independence, Inyo County, California, 93526, United States of America""",93526
lake skinner,water,"""Lake Skinner, Benton Road, Robert A. Skinner Treatment Plant, French Valley, Country Road Estates, Riverside County, California, 92596, United States of America""",92596
angel stadium,stadium,"""Angel Stadium of Anaheim, South Douglass Road, Anaheim Resort District, Anaheim, Orange County, California, 92806, United States of America""",92806
camp pendleton,dock,"""Camp Pendleton Boat Basin, San Diego County, California, United States of America""",
cambria pines lodge,hotel,"""Cambria Pines Lodge, 2905, Patterson Place, Fiscalini Ranch Preserve, Cambria, San Luis Obispo County, California, 93428, United States of America""",93428
guerneville,administrative,"""Guerneville, Orchard Road, El Bonita, Sonoma County, California, 95446, United States of America""",95446
carlsbad aquarium,aquarium,"""Sea Life Aquarium, 5, Carlsbad, San Diego County, California, 92009, United States of America""",92009
mono mills,hamlet,"""Mono Mills, Mono County, California, United States of America""",
mission beach,hamlet,"""Mission Beach, San Diego County, California, United States of America""",
west berkeley,neighbourhood,"""West Berkeley, Berkeley, Alameda County, California, 94710, United States of America""",94710
anaheim grove,city,"""Anaheim, Orange County, California, United States of America""",
tejon pass,saddle,"""Tejon Pass, Golden State Freeway, Gorman, Los Angeles County, California, 93243, United States of America""",93243
los angeles-long beach-anaheim,secondary,"""West Anaheim Street, Willowville, Long Beach, Los Angeles County, California, 90813, United States of America""",90813
morro rock,peak,"""Morro Rock, Morro Bay, San Luis Obispo County, California, United States of America""",
brea mall,retail,"""Brea Mall, Downtown Brea, Brea, Orange County, California, 92821, United States of America""",92821
magic mountain,peak,"""Magic Mountain, Ventura County, California, United States of America""",
santa monica mountains,protected_area,"""Santa Monica Mountains National Recreation Area, Simes Lane, Seminole Hot Springs, Los Angeles County, California, 91301, United States of America""",91301
legoland california carlsbad,theme_park,"""Legoland California, 1, LEGOLAND drive, Carlsbad, San Diego County, California, 92008, United States of America""",92008
los angeles,city,"""LA, Los Angeles County, California, United States of America""",
vail ranch,suburb,"""Vail Ranch, Temecula, Riverside County, California, United States of America""",
golden gate bridge,motorway,"""Golden Gate Bridge, Waldo, Marin County, California, 94965, United States of America""",94965
mother road,living_street,"""Route 66, Anaheim Resort District, Anaheim, Orange County, California, 92802, United States of America""",92802
fawnskin,hamlet,"""Fawnskin, San Bernardino County, California, United States of America""",
los angeles farmers market,marketplace,"""Farmers Market, 6333, West 3rd Street, Park La Brea, Hollywood, LA, Los Angeles County, California, 90036, United States of America""",90036
hilton san diego resort,hotel,"""Cape Rey Carlsbad, a Hilton Resort, Whitewater Street, Carlsbad, San Diego County, California, 92011, United States of America""",92011
fashion island,retail;commercial;residential,"""Fashion Island, Newport Center, Newport Beach, Orange County, California, 62660, United States of America""",62660
hampton inn,hotel,"""Hampton Inn, 8408, West Paradise Lane, Peoria, Maricopa County, Arizona, 85382, United States of America""",85382
tecate,administrative,"""Tecate, Baja California, México""",
lost hills,administrative,"""Lost Hills, West Side Freeway, Kern County, California, United States of America""",
muir beach,hamlet,"""Muir Beach, Marin County, California, United States of America""",
pebble beach golf course,golf_course,"""Pebble Beach Golf Course, Live Oak Meadow Road, Del Monte Forest, Monterey County, California, 93953, United States of America""",93953
pasadena angeles,city,"""Pasadena, Los Angeles County, California, United States of America""",
kelbaker road,primary,"""Kelbaker Road, Baker, San Bernardino County, California, 92309, United States of America""",92309
san onofre,hamlet,"""San Onofre, San Diego County, California, United States of America""",
old town temecula museum,museum,"""Temecula Museum, Mercedes Street, Villa Del Sol, Old Town, Temecula, Riverside County, California, 92590, United States of America""",92590
kumeyaay,national_park,"""Kumeyaay Soapstone Cultural Preserve, United States of America""",
emerald bay,hamlet,"""Emerald Bay, El Dorado County, California, United States of America""",
san ysidro,suburb,"""San Ysidro, San Diego, San Diego County, California, United States of America""",
california coast,fuel,"""Coast, Ashby Avenue, Claremont, Berkeley, Alameda County, California, 94705, United States of America""",94705
san juan capistrano mission,place_of_worship,"""Mission San Juan Capistrano, El Camino Real, San Juan Capistrano, Orange County, California, 92675, United States of America""",92675
sacto,residential,"""New Sacto Way, Sacramento, Sacramento County, California, 95824, United States of America""",95824
san diego river,river,"""San Diego River, San Diego, San Diego County, California, United States of America""",
iceberg alley,peak,"""The Iceberg, Alpine County, California, United States of America""",
randsburg,administrative,"""Randsburg, Redrock Randsburg Road, Old Garlock, Kern County, California, United States of America""",
del mar racetrack,track,"""Del Mar Racetrack, Via de la Valle, Solana Beach, San Diego County, California, 92091, United States of America""",92091
oregon,administrative,"""Oregon, United States of America""",
capistrano beach,hamlet,"""Capistrano Beach, Orange County, California, United States of America""",
temecula creek,stream,"""Temecula Creek, Temecula, Riverside County, California, United States of America""",
san quentin,hamlet,"""San Quentin, Marin County, California, United States of America""",
hollywood walk of fame,footway,"""Walk of Fame, Hollywood, LA, Los Angeles County, California, 90028, United States of America""",90028
kelsey see canyon vineyards,winery,"""Kelsey See Canyon Vineyards, 1947, See Canyon Road, San Luis Obispo County, California, 93405, United States of America""",93405
disneyland drive anaheim route,secondary,"""Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America""",
avalon baker ranch,residential,"""Avalon Baker Ranch Community, Foothill Ranch, Lake Forest, Orange County, California, 92610, United States of America""",92610
mission santa barbara,place_of_worship,"""Mission Santa Barbara, 2201, Laguna Street, Santa Barbara, Santa Barbara County, California, 93105, United States of America""",93105
hollywood highland,retail,"""Hollywood & Highland, Whitley Heights, LA, Los Angeles County, California, 90028, United States of America""",90028
yosemite national park,national_park,"""Yosemite National Park, Mt. Hoffmann Trail, Mariposa County, California, United States of America""",
mount san jacinto ca,trunk,"""Ramona Expressway, San Jacinto, Riverside County, California, 92582, United States of America""",92582
tempe,city,"""Tempe, Maricopa County, Arizona, United States of America""",
disneyland drive,secondary,"""Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America""",
searles station,hamlet,"""Searles, Kern County, California, United States of America""",
southern california,university,"""University of Southern California, Watt Way, Saint James Park, LA, Los Angeles County, California, 90089, United States of America""",90089
del mar fairgrounds,pitch,"""Del Mar Fairgrounds, 2260, Jimmy Durante Boulevard, Del Mar, San Diego County, California, 92014, United States of America""",92014
old town san diego,hamlet,"""Old Town San Diego, San Diego County, California, United States of America""",
san diego county fair,residential,"""Fair Oaks Lane, Jamacha, San Diego County, California, 92019, United States of America""",92019
trona,hamlet,"""Trona, San Bernardino County, California, United States of America""",
sunset beach,administrative,"""Sunset Beach, Orange County, California, United States of America""",
lassen county,administrative,"""Lassen County, California, United States of America""",
pacheco pass,ridge,"""Pacheco Pass, Pacheco Pass Highway, Santa Clara County, California, United States of America""",
el segundo beach,park,"""Manhattan State Beach, South Bay Bike Path, El Segundo, Los Angeles County, California, 90245, United States of America""",90245
malibu beach inn,motel,"""Surfrider Beach Club, Pacific Coast Highway, Malibu, Los Angeles County, California, 90265, United States of America""",90265
mount lassen,peak,"""Lassen Peak, Shasta County, California, United States of America""",
bear mountain road,residential,"""Bear Mountain Road, Big Bear City, San Bernardino County, California, 92314, United States of America""",92314
monterey aquarium,aquarium,"""MBA, 886, Cannery Row, Monterey, Monterey County, California, 93940, United States of America""",93940
mountain home state forest,restaurant,"""Home State, 4624, Hollywood Boulevard, Little Armenia, LA, Los Angeles County, California, 90027, United States of America""",90027
carlsbad blvd,secondary,"""Carlsbad Boulevard, Carlsbad, San Diego County, California, 92008, United States of America""",92008
old town clovis,residential,"""Clovis Street, Old Town, San Diego, San Diego County, California, 92107, United States of America""",92107
muzeo,museum,"""MUZEO, 241, South Anaheim Boulevard, West Anaheim, Anaheim, Orange County, California, 92805, United States of America""",92805
california irvine,city,"""Irvine, Orange County, California, United States of America""",
haight-ashbury,neighbourhood,"""Haight-Ashbury, SF, California, 94117, United States of America""",94117
santa cruz island,island,"""Santa Cruz Island, California, United States of America""",
california state parks,theatre,"""California State Parks, Adobe Canyon Road, Kenwood, Sonoma County, California, 95452, United States of America""",95452
terwer valley,residential,"""Terwer Valley Road, Klamath Glen, Del Norte County, California, 95548, United States of America""",95548
fulton mall,commercial,"""Fulton Mall, Fresno County, California, 93701, United States of America""",93701
june lake junction,hamlet,"""June Lake Junction, Mono County, California, United States of America""",
lindbergh field,aerodrome,"""San Diego International Airport, Air Lane, Old Town, San Diego, San Diego County, California, 92101, United States of America""",92101
legoland california carlsbad route,theme_park,"""Legoland California, 1, LEGOLAND drive, Carlsbad, San Diego County, California, 92008, United States of America""",92008
california highway patrol,police,"""California Highway Patrol, 79650, Varner Road, Indio, Riverside County, California, 92203, United States of America""",79650
mall of victor valley,mall,"""The Mall of Victor Valley, Amargosa Road, Victorville, San Bernardino County, California, 92392, United States of America""",92392
santa catalina island,island,"""Santa Catalina Island, Los Angeles County, California, United States of America""",
bixby knolls,suburb,"""Bixby Knolls, Long Beach, Los Angeles County, California, United States of America""",
anacapa,residential,"""Anacapa, Anacapa Apartment Community, Lower Peters Canyon, Irvine, Orange County, California, 92602, United States of America""",92602
panamint,hamlet,"""Panamint, Inyo County, California, United States of America""",
tamalpais state park,park,"""Mount Tamalpais State Park, Panoramic Highway, Stinson Beach, Marin County, California, 94970, United States of America""",94970
moon california,residential,"""Moon, Palm Springs, Riverside County, California, 92264, United States of America""",92264
santa cruz county,administrative,"""Santa Cruz County, California, United States of America""",
vagabond inn fresno,motel,"""Vagabond Inn Fresno, South East Avenue, Fresno County, California, 93706, United States of America""",93706
' ocean beach,region,"""Ocean Beach, San Diego, San Diego County, California, United States of America""",
california national parks,residential,"""National Parks Service Road, San Bernardino County, California, United States of America""",
old pasadena,city,"""Pasadena, Los Angeles County, California, United States of America""",
balboa peninsula,suburb,"""Balboa Peninsula, Newport Beach, Orange County, California, United States of America""",
california gold country,residential,"""Gold Country Way, Bakersfield, Kern County, California, 93311, United States of America""",93311
huntington harbor,hamlet,"""Huntington Harbor, Orange County, California, United States of America""",
los angeles aqueduct,canal,"""Los Angeles Aqueduct, Inyo County, California, United States of America""",
morongo valley,administrative,"""Morongo Valley, Vista Drive, Morongo Valley, San Bernardino County, California, 92256, United States of America""",92256
lopez lake,water,"""Lopez Lake, Wittenberg Creek, San Luis Obispo County, California, 94320, United States of America""",94320
colorado river,water,"""Colorado River, Riviera Drive, East Blythe, Riverside County, California, 92225, United States of America""",92225
napa valley visitors center,yes,"""Visitor's Center, Redwood Trail, Larkmead, Napa County, California, United States of America""",
east los angeles,suburb,"""East Los Angeles, Belvedere Gardens, Los Angeles County, California, United States of America""",
tamarack beach,beach,"""Tamarack Beach, Carlsbad Boulevard, Carlsbad, San Diego County, California, 92008, United States of America""",92008
bay area,region,"""San Francisco Bay Area, SF, California, United States of America""",
hollywood forever cemetery,grave_yard,"""Hollywood Forever Cemetery and Funeral Home, 12th Street, Paramount Studios, Little Armenia, LA, Los Angeles County, California, 90038, United States of America""",90038
trinity,administrative,"""Trinity County, California, United States of America""",
fern canyon,stream,"""Fern Canyon, San Luis Obispo County, California, United States of America""",
beverly hills los angeles,city,"""Beverly Hills, Los Angeles County, California, United States of America""",
lake elizabeth,water,"""Lake Elizabeth, Elizabeth Lake Road, Leona Valley, Los Angeles County, California, 93532:93551, United States of America""",93532
anaheim/orange county,city,"""Anaheim, Orange County, California, United States of America""",
american canyon rd,secondary,"""American Canyon Road, Vallejo, Solano County, California, 94591, United States of America""",94591
little lake,hamlet,"""Little Lake, Inyo County, California, United States of America""",
pebble beach ca,hamlet,"""Pebble Beach, Monterey County, California, United States of America""",
disneyland anaheim,theme_park,"""DL, 1313, South Harbor Boulevard, Anaheim Resort District, Anaheim, Orange County, California, 92805, United States of America""",92805
los angeles card,yes,"""Melrose Tarot Card & Palm Readings, Melrose Avenue, Park La Brea, Hollywood, LA, Los Angeles County, California, 90069, United States of America""",90069
california central coast,residential,"""Central Coast Street, Bakersfield, Kern County, California, 93314, United States of America""",93314
coastal san luis obispo county,industrial,"""CIC Coastal Industrial Comercial, Grover Beach, San Luis Obispo County, California, 93433, United States of America""",93433
san nicolas island,island,"""San Nicolas Island, California, United States of America""",
disneyland drive anaheim,secondary,"""Disneyland Drive, Anaheim Resort District, Anaheim, Orange County, California, 217, United States of America""",
wilshire boulevard,primary,"""Wilshire Boulevard, Koreatown, Saint James Park, LA, Los Angeles County, California, 90005, United States of America""",90005
squaw valley,administrative,"""Squaw Valley, Fresno County, California, United States of America""",
la jolla,suburb,"""La Jolla, San Diego, San Diego County, California, United States of America""",
pismo/shell beach,village,"""Shell Beach, San Luis Obispo County, California, United States of America""",
sequoia national park,national_park,"""Sequoia National Park, Black Rock Pass Trail, Mineral King, Tulare County, California, United States of America""",
middle ranch canyon,track,"""Cape Canyon Trail, Middle Ranch, Los Angeles County, California, United States of America""",
republic of california,residential,"""Republic Street, El Pueblo, Little Tokyo Historic District, LA, Los Angeles County, California, 90012, United States of America""",90012
orangethorpe,primary,"""Orangethorpe Avenue, Anaheim Hills, Anaheim, Orange County, California, 92807, United States of America""",92807
s. anaheim blvd,secondary,"""South Anaheim Boulevard, Anaheim Resort District, Anaheim, Orange County, California, 92805, United States of America""",92805
joshua tree national park,national_park,"""Joshua Tree National Park, Pinto Basin Road, Riverside County, California, United States of America""",
ventura county,administrative,"""Ventura County, California, United States of America""",
palos verdes peninsula,residential,"""Peninsula Verde Drive, Ranchos Palos Verdes, Los Angeles County, California, 90275, United States of America""",90275
san jacinto ca,city,"""San Jacinto, Riverside County, California, United States of America""",
monterey bay,bay,"""Monterey Bay, Monterey County, California, United States of America""",
pershing square,park,"""Pershing Square, South Hill Street, Financial District, Bunker Hill, LA, Los Angeles County, California, 90071, United States of America""",90071
walt disney concert hall,theatre,"""Walt Disney Concert Hall, South Hope Street, Bunker Hill, LA, Los Angeles County, California, 90012, United States of America""",90012
